wid_pass0_vec, prf_pass0_vec, prf_pass0_stainless_vec
          800,          0.27,                    0.37
          850,          0.28,                    0.38
         1000,         0.286,                    0.39
         1100,         0.290,                    0.39
         1250,         0.294,                    0.40
         1450,         0.298,                    0.40
         1600,         0.302,                    0.41
         1750,         0.306,                    0.42
         1900,         0.310,                    0.42
         2050,         0.314,                    0.43
         2150,         0.318,                    0.43
         2250,         0.322,                    0.44
